step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.001106,0.008846,10.4101,3.470638,3.135233,1.46e-05,31.6
23,12058624,0.002056,0.016450,10.1545,3.419034,3.072196,1.97e-05,56.9
30,15728640,0.003163,0.025306,9.8833,3.353868,2.995360,2.57e-05,82.8
40,20971520,0.004745,0.037960,9.5149,3.266106,2.896226,3.43e-05,110.3
54,28311552,0.006959,0.055669,9.0254,3.134059,2.746650,4.63e-05,140.1
71,37224448,0.009646,0.077167,8.4501,2.973274,2.552473,6.09e-05,171.6
95,49807360,0.013440,0.107519,7.6867,2.798427,2.338443,8.14e-05,207.1
127,66584576,0.018499,0.147990,6.9656,2.664064,2.189019,1.09e-04,247.1
169,88604672,0.025140,0.201123,6.4862,2.549332,2.076941,1.45e-04,293.0
226,118489088,0.034154,0.273231,6.1521,2.454289,1.991098,1.94e-04,347.3
301,157810688,0.046007,0.368052,5.8901,2.349980,1.909087,2.58e-04,411.8
401,210239488,0.061806,0.494451,5.5722,2.248492,1.804042,3.44e-04,490.5
535,280494080,0.082975,0.663802,5.1594,2.125689,1.678591,4.59e-04,588.6
713,373817344,0.111110,0.888882,4.6985,1.882222,1.521971,6.00e-04,711.7
951,498597888,0.148714,1.189715,4.1423,1.609059,1.363745,6.00e-04,868.8
1269,665321472,0.198973,1.591786,3.8389,1.519151,1.267566,5.98e-04,1071.9
1692,887095296,0.265841,2.126726,3.6492,1.444140,1.205283,5.95e-04,1334.5
2256,1182793728,0.354961,2.839689,3.4977,1.404834,1.159733,5.88e-04,1677.2
3009,1577582592,0.473959,3.791672,3.3890,1.367942,1.123975,5.73e-04,2127.4
4012,2103443456,0.632439,5.059511,3.3152,1.324825,1.095166,5.46e-04,2719.8
5350,2804940800,0.843928,6.751427,3.2203,1.303172,1.070081,4.98e-04,3503.0
7135,3740794880,1.125971,9.007771,3.1510,1.289341,1.047013,4.16e-04,4540.2
9514,4988076032,1.501852,12.014819,3.0862,1.268960,1.025384,2.93e-04,5915.2
12687,6651641856,2.003196,16.025568,3.0313,1.260144,1.004297,1.46e-04,7741.9
15227,7983333376,2.404501,19.236007,2.9922,1.248710,0.993715,7.44e-05,9208.5
15565,8160542720,2.457924,19.663391,2.9890,1.249952,0.992639,6.92e-05,9422.7
15904,8338276352,2.511484,20.091869,2.9937,1.252086,0.991870,6.52e-05,9637.4
16242,8515485696,2.564889,20.519112,2.9776,1.256102,0.991263,6.23e-05,9851.5
16581,8693219328,2.618451,20.947610,2.9815,1.248742,0.990693,6.06e-05,10066.1
16919,8870428672,2.671880,21.375038,2.9898,1.252263,0.990254,6.00e-05,10280.3
