step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000527,0.004212,10.3130,3.349106,3.005806,6.04e-05,27.4
23,12058624,0.000978,0.007828,9.9731,3.229676,2.879284,8.17e-05,51.7
30,15728640,0.001506,0.012044,9.5474,3.070699,2.710004,1.07e-04,76.2
40,20971520,0.002257,0.018057,8.9039,2.891212,2.478106,1.42e-04,101.5
54,28311552,0.003310,0.026478,8.0545,2.750727,2.278146,1.92e-04,127.8
71,37224448,0.004588,0.036708,7.2835,2.616657,2.142682,2.52e-04,154.9
95,49807360,0.006393,0.051146,6.6170,2.504832,2.032747,3.37e-04,184.0
127,66584576,0.008801,0.070410,6.1252,2.409672,1.923422,4.51e-04,215.2
169,88604672,0.011962,0.095695,5.7248,2.295203,1.818715,6.00e-04,249.3
226,118489088,0.016258,0.130068,5.3583,2.167409,1.705949,6.00e-04,287.3
301,157810688,0.021907,0.175254,5.0418,2.097091,1.619708,6.00e-04,330.2
401,210239488,0.029434,0.235473,4.7425,1.975571,1.530491,6.00e-04,379.8
535,280494080,0.039527,0.316215,4.4576,1.853088,1.434585,5.99e-04,438.8
713,373817344,0.052940,0.423523,4.1209,1.657669,1.336824,5.99e-04,509.7
951,498597888,0.070866,0.566925,3.9123,1.580235,1.267175,5.97e-04,596.8
1269,665321472,0.094809,0.758473,3.7386,1.527944,1.214959,5.94e-04,705.6
1692,887095296,0.126684,1.013474,3.6190,1.465220,1.174135,5.89e-04,843.0
2256,1182793728,0.169156,1.353245,3.5041,1.434996,1.139612,5.80e-04,1018.7
3009,1577582592,0.225834,1.806669,3.4048,1.400581,1.110847,5.63e-04,1245.2
4012,2103443456,0.301330,2.410637,3.3556,1.392399,1.086005,5.33e-04,1539.7
5350,2804940800,0.402025,3.216202,3.2616,1.358657,1.063260,4.82e-04,1924.9
7135,3740794880,0.536282,4.290254,3.2251,1.353242,1.043411,4.01e-04,2430.9
9514,4988076032,0.715233,5.721866,3.1553,1.341237,1.024274,2.81e-04,3097.9
12687,6651641856,0.953909,7.631271,3.0972,1.330869,1.007004,1.41e-04,3980.0
15227,7983333376,1.145039,9.160312,3.0771,1.334574,0.999009,7.35e-05,4690.8
15565,8160542720,1.170451,9.363609,3.0626,1.333744,0.998319,6.87e-05,4805.0
15904,8338276352,1.195949,9.567595,3.0778,1.337590,0.997720,6.49e-05,4919.6
16242,8515485696,1.221374,9.770990,3.0690,1.327725,0.997233,6.22e-05,5033.8
16581,8693219328,1.246882,9.975052,3.0710,1.336918,0.996752,6.05e-05,5148.4
16919,8870428672,1.272330,10.178638,3.0780,1.332664,0.996289,6.00e-05,5262.6
