step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.003142,0.025133,10.0044,3.162735,2.769950,2.01e-05,87.6
23,12058624,0.005837,0.046700,9.5626,3.075644,2.666275,2.72e-05,162.6
30,15728640,0.008983,0.071863,9.0793,2.984252,2.539078,3.55e-05,239.5
40,20971520,0.013474,0.107796,8.4575,2.843569,2.381849,4.73e-05,320.7
54,28311552,0.019762,0.158098,7.7510,2.746460,2.251840,6.39e-05,409.0
71,37224448,0.027411,0.219291,7.1613,2.649679,2.155981,8.40e-05,502.4
95,49807360,0.038223,0.305787,6.6204,2.567236,2.044506,1.12e-04,606.5
127,66584576,0.052658,0.421266,6.1729,2.437268,1.949387,1.50e-04,724.2
169,88604672,0.071597,0.572778,5.8257,2.351241,1.859712,2.00e-04,858.0
226,118489088,0.097285,0.778277,5.4851,2.263533,1.763179,2.00e-04,1015.2
301,157810688,0.131098,1.048788,5.1576,2.159157,1.646840,2.00e-04,1202.3
401,210239488,0.176185,1.409478,4.8298,2.034423,1.553758,2.00e-04,1429.3
535,280494080,0.236559,1.892470,4.5264,1.925980,1.458483,2.00e-04,1711.9
713,373817344,0.316765,2.534121,4.1917,1.757035,1.356058,2.00e-04,2065.4
951,498597888,0.424022,3.392175,3.9064,1.594466,1.262085,1.99e-04,2516.8
1269,665321472,0.567376,4.539005,3.6771,1.515169,1.193487,1.98e-04,3097.8
1692,887095296,0.758035,6.064284,3.5203,1.454676,1.142543,1.96e-04,3848.8
2256,1182793728,1.012285,8.098279,3.3742,1.389547,1.096957,1.93e-04,4829.6
3009,1577582592,1.351871,10.814972,3.2454,1.352641,1.059025,1.88e-04,6116.8
4012,2103443456,1.804285,14.434281,3.1695,1.324989,1.025022,1.78e-04,7810.7
5350,2804940800,2.407765,19.262122,3.0492,1.288150,0.994332,1.61e-04,10048.7
7135,3740794880,3.212206,25.697650,2.9912,1.257115,0.967057,1.34e-04,13009.5
9514,4988076032,4.285010,34.280078,2.9006,1.236342,0.941623,9.37e-05,16936.4
12687,6651641856,5.715757,45.726055,2.8262,1.215280,0.919675,4.69e-05,22152.4
15227,7983333376,6.860462,54.883692,2.8023,1.213304,0.909668,2.45e-05,26338.8
15565,8160542720,7.012877,56.103020,2.7853,1.210476,0.908802,2.29e-05,26952.9
15904,8338276352,7.165745,57.325961,2.8018,1.208392,0.908045,2.16e-05,27568.6
16242,8515485696,7.318107,58.544855,2.7936,1.205150,0.907347,2.07e-05,28182.4
16581,8693219328,7.471036,59.768287,2.7943,1.212037,0.906735,2.02e-05,28798.4
16919,8870428672,7.623277,60.986216,2.7969,1.207668,0.906120,2.00e-05,29411.3
