step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.001007,0.008054,10.1868,3.263650,2.796555,3.02e-04,39.2
23,12058624,0.001870,0.014960,9.5874,3.023093,2.563790,4.08e-04,72.3
30,15728640,0.002876,0.023008,8.9200,2.915934,2.442377,5.33e-04,105.9
40,20971520,0.004313,0.034505,8.1997,2.829830,2.370354,7.10e-04,141.1
54,28311552,0.006325,0.050597,7.4914,2.723232,2.259870,9.59e-04,178.2
71,37224448,0.008772,0.070174,6.9073,2.654725,2.142825,1.26e-03,217.0
95,49807360,0.012225,0.097796,6.3774,2.514502,2.036227,1.69e-03,259.4
127,66584576,0.016829,0.134635,5.9818,2.398495,1.933136,2.25e-03,306.0
169,88604672,0.022875,0.183000,5.5673,2.305555,1.809028,3.00e-03,357.7
226,118489088,0.031065,0.248522,5.1178,2.171995,1.696283,3.00e-03,417.2
301,157810688,0.041856,0.334851,4.5793,1.882503,1.503292,3.00e-03,486.1
401,210239488,0.056238,0.449904,4.1244,1.711019,1.368692,3.00e-03,568.1
535,280494080,0.075508,0.604068,3.8509,1.613970,1.285845,3.00e-03,667.6
713,373817344,0.101099,0.808796,3.6620,1.587160,1.226696,3.00e-03,789.8
951,498597888,0.135341,1.082727,3.5263,1.528037,1.181560,3.00e-03,943.2
1269,665321472,0.181104,1.448835,3.3980,1.490999,1.144183,3.00e-03,1138.0
1692,887095296,0.241915,1.935320,3.3032,1.407502,1.113041,3.00e-03,1387.2
2256,1182793728,0.322959,2.583673,3.2275,1.389837,1.087527,3.00e-03,1709.0
3009,1577582592,0.431171,3.449365,3.1840,1.382861,1.065125,3.00e-03,2128.7
4012,2103443456,0.575264,4.602116,3.1047,1.356173,1.045383,3.00e-03,2677.5
5350,2804940800,0.767481,6.139847,3.0607,1.355989,1.028800,3.00e-03,3399.6
7135,3740794880,1.023912,8.191295,3.0212,1.310137,1.014116,3.00e-03,4352.9
9514,4988076032,1.365722,10.925775,2.9758,1.310366,1.000954,3.00e-03,5613.5
12687,6651641856,1.821602,14.572820,2.9473,1.298171,0.990030,3.00e-03,7284.8
15227,7983333376,2.186444,17.491553,2.8968,1.286833,0.969753,1.52e-03,8628.2
15565,8160542720,2.235014,17.880114,2.8740,1.274590,0.965923,1.21e-03,8833.0
15904,8338276352,2.283757,18.270056,2.8778,1.277952,0.962577,9.10e-04,9038.4
16242,8515485696,2.332358,18.658867,2.8563,1.285558,0.959207,6.07e-04,9243.5
16581,8693219328,2.381072,19.048578,2.8481,1.279930,0.956100,3.04e-04,9449.1
16919,8870428672,2.429661,19.437290,2.8565,1.283306,0.954307,8.96e-07,9654.1
