step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000368,0.002942,10.4997,3.453481,3.284532,1.46e-05,7.0
23,12058624,0.000684,0.005470,10.2727,3.421012,3.238021,1.97e-05,11.8
30,15728640,0.001051,0.008407,10.0238,3.364982,3.150922,2.57e-05,16.8
40,20971520,0.001575,0.012600,9.6758,3.265746,3.029275,3.43e-05,22.3
54,28311552,0.002310,0.018480,9.1871,3.129472,2.862653,4.63e-05,28.6
71,37224448,0.003202,0.025615,8.5866,2.958217,2.657444,6.09e-05,35.5
95,49807360,0.004460,0.035682,7.8208,2.793643,2.452608,8.14e-05,43.7
127,66584576,0.006140,0.049120,7.1831,2.673951,2.315123,1.09e-04,53.4
169,88604672,0.008350,0.066798,6.7331,2.571624,2.211150,1.45e-04,65.0
226,118489088,0.011354,0.090836,6.4007,2.460908,2.121770,1.94e-04,79.5
301,157810688,0.015317,0.122538,6.1188,2.357486,2.031994,2.58e-04,97.5
401,210239488,0.020612,0.164898,5.7815,2.227095,1.920115,3.44e-04,120.2
535,280494080,0.027739,0.221909,5.3611,2.058453,1.785704,4.59e-04,149.5
714,374341632,0.037234,0.297874,4.8126,1.725987,1.600446,6.00e-04,187.4
952,499122176,0.049844,0.398753,4.4054,1.568531,1.478626,6.00e-04,236.5
1269,665321472,0.066593,0.532741,4.1669,1.471724,1.397127,5.98e-04,300.4
1692,887095296,0.088917,0.711340,3.9889,1.409347,1.341451,5.95e-04,384.5
2257,1183318016,0.118736,0.949888,3.8613,1.353462,1.299250,5.88e-04,495.5
3010,1578106880,0.158425,1.267400,3.7499,1.316657,1.265787,5.73e-04,642.1
4014,2104492032,0.211359,1.690875,3.6700,1.286373,1.237996,5.46e-04,836.3
5352,2805989376,0.281802,2.254417,3.5947,1.261986,1.214041,4.98e-04,1093.6
7137,3741843456,0.375819,3.006554,3.5267,1.235774,1.191825,4.16e-04,1435.8
9518,4990173184,0.501142,4.009133,3.4709,1.213344,1.170479,2.93e-04,1890.6
12692,6654263296,0.668093,5.344741,3.4098,1.187429,1.149975,1.46e-04,2495.4
15232,7985954816,0.801748,6.413987,3.3749,1.175691,1.139565,7.44e-05,2980.3
15571,8163688448,0.819602,6.556815,3.3596,1.175360,1.138759,6.92e-05,3048.2
15910,8341422080,0.837442,6.699539,3.3792,1.173028,1.137936,6.52e-05,3116.1
16248,8518631424,0.855230,6.841840,3.3561,1.174218,1.137384,6.23e-05,3183.8
16586,8695840768,0.873018,6.984143,3.3713,1.174099,1.136706,6.06e-05,3251.6
16925,8873574400,0.890863,7.126908,3.3564,1.173139,1.136332,6.00e-05,3319.5
