step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000368,0.002942,10.4383,3.433050,3.194443,1.46e-05,8.0
23,12058624,0.000685,0.005477,10.1800,3.404218,3.134517,1.97e-05,13.9
30,15728640,0.001052,0.008418,9.9050,3.341359,3.058439,2.57e-05,20.0
40,20971520,0.001576,0.012611,9.5191,3.244748,2.933262,3.43e-05,26.6
54,28311552,0.002311,0.018484,8.9961,3.102435,2.758633,4.63e-05,34.0
71,37224448,0.003202,0.025613,8.3651,2.936637,2.541996,6.09e-05,42.0
95,49807360,0.004460,0.035677,7.5528,2.790767,2.324545,8.14e-05,51.3
127,66584576,0.006143,0.049141,6.8846,2.669242,2.180026,1.09e-04,62.2
169,88604672,0.008358,0.066863,6.3962,2.552127,2.075540,1.45e-04,74.9
226,118489088,0.011362,0.090899,6.0880,2.424601,1.996365,1.94e-04,90.5
301,157810688,0.015329,0.122629,5.8458,2.332898,1.920526,2.58e-04,109.6
401,210239488,0.020629,0.165031,5.5143,2.202159,1.828606,3.44e-04,133.5
535,280494080,0.027736,0.221892,5.1165,2.056052,1.690643,4.59e-04,163.8
714,374341632,0.037216,0.297730,4.6784,1.789114,1.547206,6.00e-04,202.7
952,499122176,0.049809,0.398469,4.2376,1.558869,1.413814,6.00e-04,252.8
1269,665321472,0.066546,0.532368,4.0108,1.462857,1.338996,5.98e-04,317.9
1692,887095296,0.088871,0.710965,3.8392,1.401140,1.287585,5.95e-04,403.1
2257,1183318016,0.118672,0.949373,3.7355,1.352443,1.246905,5.88e-04,515.1
3010,1578106880,0.158394,1.267152,3.6188,1.314499,1.214245,5.73e-04,662.9
4014,2104492032,0.211282,1.690253,3.5409,1.279888,1.187479,5.46e-04,858.1
5352,2805989376,0.281847,2.254776,3.4807,1.254743,1.164833,4.98e-04,1117.0
7137,3741843456,0.375898,3.007187,3.4017,1.231682,1.144110,4.16e-04,1460.4
9518,4990173184,0.501255,4.010044,3.3498,1.206763,1.124380,2.93e-04,1916.5
12692,6654263296,0.668386,5.347089,3.2955,1.182134,1.105086,1.46e-04,2523.0
15232,7985954816,0.802154,6.417230,3.2620,1.171569,1.095530,7.44e-05,3009.4
15571,8163688448,0.819992,6.559936,3.2632,1.170145,1.094578,6.92e-05,3078.5
15910,8341422080,0.837821,6.702566,3.2488,1.169429,1.093964,6.52e-05,3147.4
16248,8518631424,0.855593,6.844744,3.2550,1.167849,1.093364,6.23e-05,3216.2
16586,8695840768,0.873392,6.987136,3.2566,1.169507,1.092840,6.06e-05,3285.1
16925,8873574400,0.891228,7.129820,3.2523,1.167476,1.092392,6.00e-05,3354.1
