step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000097,0.000777,18.2235,3.024456,4.376169,2.30e-02,293.1
7,917504,0.000109,0.000870,18.0221,2.959773,4.265022,2.30e-02,298.0
9,1179648,0.000128,0.001026,17.5974,2.855099,4.099188,2.30e-02,303.0
11,1441792,0.000148,0.001181,17.1666,2.794869,3.988521,2.30e-02,308.1
13,1703936,0.000168,0.001345,16.7339,2.738472,3.882830,2.30e-02,313.1
16,2097152,0.000198,0.001585,16.1361,2.641494,3.749432,2.30e-02,318.0
19,2490368,0.000225,0.001798,15.5901,2.610483,3.675132,2.30e-02,323.0
24,3145728,0.000274,0.002190,14.7739,2.558298,3.558871,2.30e-02,328.0
29,3801088,0.000318,0.002542,14.0886,2.475071,3.438470,2.30e-02,333.0
35,4587520,0.000373,0.002984,13.4113,2.382141,3.339562,2.30e-02,338.1
43,5636096,0.000445,0.003559,12.6562,2.283773,3.206549,2.30e-02,343.4
53,6946816,0.000534,0.004275,11.9573,2.184984,3.091176,2.30e-02,348.6
64,8388608,0.000633,0.005068,11.3822,2.106814,3.008926,2.30e-02,353.9
79,10354688,0.000766,0.006127,10.8147,1.995569,2.872765,2.30e-02,359.3
96,12582912,0.000917,0.007338,10.3565,1.933929,2.805531,2.30e-02,364.8
118,15466496,0.001120,0.008958,9.9517,1.901395,2.735368,2.30e-02,370.6
145,19005440,0.001358,0.010863,9.5901,1.823014,2.648753,2.30e-02,376.5
177,23199744,0.001641,0.013129,9.3211,1.783114,2.587665,2.30e-02,382.6
217,28442624,0.001994,0.015952,9.1010,1.725082,2.540255,2.30e-02,388.8
265,34734080,0.002421,0.019365,8.8813,1.700911,2.508581,2.30e-02,395.3
325,42598400,0.002952,0.023615,8.6023,1.676612,2.459989,2.30e-02,402.1
398,52166656,0.003598,0.028784,8.3504,1.638292,2.415030,2.30e-02,409.4
488,63963136,0.004393,0.035143,8.0359,1.598888,2.372729,2.30e-02,417.2
598,78381056,0.005362,0.042895,7.7459,1.581593,2.335266,2.30e-02,425.7
732,95944704,0.006545,0.052364,7.4101,1.532392,2.285262,2.30e-02,434.9
897,117571584,0.007999,0.063988,6.9872,1.515220,2.252556,2.30e-02,445.1
1010,144179200,0.009685,0.077482,6.6386,1.485325,2.228384,3.50e-02,461.4
1133,176422912,0.011709,0.093670,6.0920,1.457200,2.171814,3.44e-02,473.7
1285,216268800,0.014212,0.113692,5.5687,1.424752,2.114357,3.15e-02,487.8
1471,265027584,0.017274,0.138191,4.9161,1.379542,2.055268,2.80e-02,503.9
1698,324534272,0.021012,0.168095,4.0853,1.339925,1.982168,2.37e-02,522.4
1932,397934592,0.025558,0.204461,3.3559,1.324011,1.920653,2.16e-02,549.0
2159,487194624,0.030994,0.247951,3.2952,1.318638,1.884636,1.67e-02,573.6
2439,597295104,0.037706,0.301647,3.2001,1.308278,1.844740,1.05e-02,602.7
2594,658243584,0.041416,0.331326,3.1876,1.285667,1.826379,7.11e-03,621.1
2632,673185792,0.042324,0.338592,3.1901,1.286972,1.822793,6.28e-03,629.3
2669,687734784,0.043206,0.345649,3.1694,1.293434,1.819232,5.47e-03,637.5
2706,702283776,0.044090,0.352716,3.1469,1.290302,1.815916,4.66e-03,645.7
2743,716832768,0.044972,0.359777,3.1788,1.286190,1.812466,3.85e-03,653.9
2780,731381760,0.045859,0.366870,3.1425,1.284480,1.808805,3.45e-03,666.9
