step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000132,0.001056,18.1269,3.011153,2.555838,2.30e-02,497.2
7,917504,0.000145,0.001163,17.9168,2.941856,2.485686,2.30e-02,502.0
9,1179648,0.000165,0.001321,17.4705,2.829090,2.377735,2.30e-02,506.6
11,1441792,0.000184,0.001471,17.0234,2.766197,2.305594,2.30e-02,511.2
13,1703936,0.000203,0.001622,16.5937,2.702401,2.243131,2.30e-02,515.8
16,2097152,0.000231,0.001846,15.9674,2.640146,2.178079,2.30e-02,520.7
19,2490368,0.000257,0.002056,15.4092,2.568087,2.117491,2.30e-02,525.3
24,3145728,0.000302,0.002417,14.5941,2.493229,2.046105,2.30e-02,530.0
29,3801088,0.000346,0.002769,13.8926,2.419761,1.984125,2.30e-02,534.7
35,4587520,0.000404,0.003234,13.1577,2.347351,1.922460,2.30e-02,539.5
43,5636096,0.000478,0.003825,12.3784,2.242728,1.856930,2.30e-02,544.5
53,6946816,0.000590,0.004722,11.6514,2.121897,1.781154,2.30e-02,549.7
64,8388608,0.000687,0.005499,11.0783,2.031404,1.724481,2.30e-02,554.7
79,10354688,0.000820,0.006559,10.4767,1.956319,1.660881,2.30e-02,559.7
96,12582912,0.000970,0.007759,10.0212,1.881693,1.615389,2.30e-02,565.0
118,15466496,0.001161,0.009289,9.6434,1.822609,1.568562,2.30e-02,570.2
145,19005440,0.001396,0.011169,9.2688,1.747572,1.521655,2.30e-02,575.6
177,23199744,0.001675,0.013401,9.0301,1.692261,1.486517,2.30e-02,581.4
217,28442624,0.002024,0.016188,8.7057,1.650363,1.450720,2.30e-02,587.2
265,34734080,0.002441,0.019526,8.5245,1.612778,1.428828,2.30e-02,593.3
325,42598400,0.002962,0.023694,8.2871,1.589394,1.406014,2.30e-02,599.7
398,52166656,0.003596,0.028767,8.0362,1.566483,1.384913,2.30e-02,606.6
488,63963136,0.004378,0.035026,7.7439,1.532622,1.355366,2.30e-02,614.0
598,78381056,0.005345,0.042758,7.4341,1.509237,1.333471,2.30e-02,622.2
732,95944704,0.006508,0.052067,7.1085,1.477706,1.306792,2.30e-02,631.1
897,117571584,0.007941,0.063531,6.6960,1.459591,1.292689,2.30e-02,640.8
1010,144179200,0.009567,0.076533,6.3320,1.434749,1.265870,3.50e-02,680.8
1133,176422912,0.011504,0.092034,5.8428,1.406211,1.243013,3.44e-02,692.4
1285,216268800,0.013901,0.111210,5.3392,1.370342,1.208081,3.15e-02,705.9
1471,265027584,0.016844,0.134753,4.6291,1.331714,1.169956,2.80e-02,721.1
1698,324534272,0.020442,0.163534,3.8230,1.282885,1.123344,2.37e-02,738.6
1932,397934592,0.024821,0.198567,3.1373,1.301461,1.089119,2.16e-02,790.1
2159,487194624,0.030036,0.240289,3.0563,1.286508,1.070908,1.67e-02,813.5
2439,597295104,0.036503,0.292025,3.0008,1.263393,1.057266,1.05e-02,841.4
2594,658243584,0.040089,0.320715,2.9396,1.248350,1.048966,7.11e-03,859.1
2632,673185792,0.040964,0.327715,2.9459,1.253527,1.049168,6.28e-03,866.8
2669,687734784,0.041816,0.334524,2.9372,1.254679,1.049181,5.47e-03,874.5
2706,702283776,0.042669,0.341355,2.9480,1.246691,1.045601,4.66e-03,882.2
2743,716832768,0.043519,0.348150,2.9352,1.251875,1.052616,3.85e-03,889.8
2780,731381760,0.044374,0.354993,2.9113,1.265144,1.078588,3.45e-03,928.6
