step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
34,4456448,0.000946,0.007564,13.6200,2.490377,2.098430,1.50e-02,749.5
41,5373952,0.001089,0.008708,12.9852,2.417031,2.037675,1.50e-02,757.6
50,6553600,0.001271,0.010167,12.3252,2.313413,1.968338,1.50e-02,765.9
62,8126464,0.001513,0.012100,11.7643,2.211987,1.896048,1.50e-02,774.5
75,9830400,0.001774,0.014196,11.2190,2.136624,1.835166,1.50e-02,783.4
92,12058624,0.002118,0.016944,10.7183,2.044816,1.770475,1.50e-02,792.4
113,14811136,0.002541,0.020325,10.2317,1.964732,1.710276,1.50e-02,801.7
138,18087936,0.003044,0.024356,9.8103,1.875103,1.651469,1.50e-02,811.3
169,22151168,0.003666,0.029327,9.4947,1.815501,1.604789,1.50e-02,821.2
207,27131904,0.004428,0.035427,9.1697,1.761646,1.563359,1.50e-02,831.7
254,33292288,0.005372,0.042972,8.9492,1.707934,1.528185,1.50e-02,842.7
311,40763392,0.006512,0.052098,8.6428,1.664398,1.500670,1.50e-02,854.5
381,49938432,0.007912,0.063299,8.3290,1.620158,1.466823,1.50e-02,867.2
467,61210624,0.009632,0.077060,7.9943,1.583604,1.435461,1.50e-02,880.9
572,74973184,0.011734,0.093873,7.5776,1.540345,1.407937,1.50e-02,896.2
700,91750400,0.014296,0.114370,7.1556,1.512499,1.383802,1.50e-02,913.1
821,112459776,0.017310,0.138482,6.8650,1.481937,1.361712,2.28e-02,957.7
918,137887744,0.020800,0.166404,6.3965,1.436748,1.326677,2.28e-02,978.0
1036,168820736,0.025044,0.200352,5.9002,1.402801,1.296148,2.28e-02,1000.8
1181,206831616,0.030260,0.242077,5.1657,1.367688,1.265368,2.28e-02,1027.4
1359,253493248,0.036671,0.293366,4.4628,1.319224,1.225826,2.28e-02,1058.3
1573,310378496,0.044479,0.355834,3.4880,1.288150,1.199713,2.59e-02,1119.6
1751,380370944,0.053912,0.431300,3.3627,1.268330,1.175716,2.59e-02,1161.2
1969,466092032,0.065464,0.523709,3.3004,1.252687,1.164634,2.59e-02,1210.5
2236,571080704,0.079607,0.636860,3.2917,1.246108,1.156718,2.59e-02,1269.1
2510,699793408,0.096709,0.773670,3.2416,1.233697,1.151069,3.00e-02,1362.0
2810,857079808,0.117505,0.940044,3.2556,1.223670,1.141023,3.00e-02,1444.5
3179,1050542080,0.143086,1.144688,3.2073,1.211361,1.131972,2.84e-02,1570.2
3630,1286995968,0.174516,1.396127,3.1737,1.205256,1.126878,2.65e-02,1691.0
4183,1576927232,0.213082,1.704658,3.1172,1.182190,1.110454,2.41e-02,1863.2
4860,1931870208,0.260468,2.083743,3.0722,1.172629,1.099992,2.12e-02,2067.6
5690,2367029248,0.318866,2.550929,3.0312,1.156517,1.085881,1.76e-02,2311.4
6707,2900230144,0.390699,3.125588,2.9746,1.138679,1.067368,1.32e-02,2603.5
7954,3554017280,0.479072,3.832579,2.9161,1.110930,1.045673,7.77e-03,2929.7
8650,3918921728,0.528487,4.227896,2.8560,1.096157,1.033572,4.75e-03,3115.6
8816,4005953536,0.540268,4.322146,2.8571,1.096534,1.030891,4.03e-03,3166.1
8982,4092985344,0.552033,4.416267,2.8530,1.094895,1.030140,3.31e-03,3216.4
9148,4180017152,0.563802,4.510416,2.8332,1.091593,1.027401,2.60e-03,3266.8
9314,4267048960,0.575583,4.604667,2.8418,1.090486,1.025267,1.88e-03,3317.2
9480,4354080768,0.587363,4.698903,2.8123,1.088317,1.023838,1.50e-03,3393.4
