step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
34,4456448,0.000733,0.005865,13.6154,2.486938,2.098253,1.50e-02,165.0
41,5373952,0.000873,0.006987,12.9783,2.413086,2.032890,1.50e-02,173.6
50,6553600,0.001055,0.008440,12.3143,2.306074,1.964511,1.50e-02,182.3
62,8126464,0.001297,0.010373,11.7509,2.207653,1.890460,1.50e-02,191.1
75,9830400,0.001558,0.012461,11.2038,2.128841,1.830808,1.50e-02,200.1
92,12058624,0.001900,0.015201,10.7070,2.037014,1.764893,1.50e-02,209.3
113,14811136,0.002322,0.018576,10.2229,1.952062,1.702831,1.50e-02,218.8
138,18087936,0.002826,0.022604,9.8016,1.866254,1.650650,1.50e-02,228.6
169,22151168,0.003448,0.027588,9.4907,1.813319,1.607779,1.50e-02,238.7
207,27131904,0.004236,0.033886,9.1668,1.751394,1.562707,1.50e-02,249.4
254,33292288,0.005179,0.041432,8.9479,1.712533,1.536711,1.50e-02,260.8
311,40763392,0.006340,0.050716,8.6426,1.665161,1.500480,1.50e-02,273.0
381,49938432,0.007741,0.061927,8.3256,1.613589,1.467679,1.50e-02,285.9
467,61210624,0.009500,0.076002,8.0044,1.587324,1.440294,1.50e-02,300.1
572,74973184,0.011602,0.092818,7.5795,1.542634,1.408952,1.50e-02,315.6
700,91750400,0.014175,0.113396,7.1595,1.511468,1.384734,1.50e-02,332.8
821,112459776,0.017191,0.137531,6.8667,1.484314,1.366220,2.28e-02,354.6
918,137887744,0.020691,0.165531,6.4007,1.439538,1.327640,2.28e-02,375.2
1036,168820736,0.024943,0.199543,5.9017,1.402698,1.297698,2.28e-02,398.5
1181,206831616,0.030167,0.241334,5.1680,1.363912,1.263450,2.28e-02,425.4
1359,253493248,0.036584,0.292670,4.4589,1.319918,1.228622,2.28e-02,456.5
1573,310378496,0.044399,0.355188,3.4849,1.283404,1.193932,2.59e-02,495.5
1751,380370944,0.053824,0.430593,3.3643,1.267149,1.178815,2.59e-02,537.5
1969,466092032,0.065368,0.522942,3.3000,1.253158,1.162720,2.59e-02,587.2
2236,571080704,0.079523,0.636182,3.2848,1.240974,1.154585,2.59e-02,646.2
2510,699793408,0.096637,0.773094,3.2454,1.233867,1.149977,3.00e-02,718.8
2810,857079808,0.117415,0.939319,3.2576,1.224515,1.139799,3.00e-02,802.0
3179,1050542080,0.143000,1.143999,3.2110,1.205802,1.133277,2.84e-02,906.9
3630,1286995968,0.174399,1.395192,3.1743,1.203250,1.127909,2.65e-02,1028.3
4183,1576927232,0.213009,1.704072,3.1176,1.180445,1.112706,2.41e-02,1178.7
4860,1931870208,0.260449,2.083593,3.0745,1.176609,1.103840,2.12e-02,1360.2
5690,2367029248,0.318898,2.551183,3.0316,1.152286,1.085365,1.76e-02,1581.7
6707,2900230144,0.390783,3.126263,2.9746,1.136861,1.069107,1.32e-02,1851.5
7954,3554017280,0.479141,3.833127,2.9174,1.109089,1.045065,7.77e-03,2177.5
8650,3918921728,0.528501,4.228005,2.8568,1.094168,1.033362,4.75e-03,2363.2
8816,4005953536,0.540262,4.322096,2.8599,1.091975,1.031500,4.03e-03,2413.8
8982,4092985344,0.552010,4.416081,2.8552,1.091203,1.029672,3.31e-03,2464.2
9148,4180017152,0.563780,4.510237,2.8344,1.087327,1.026299,2.60e-03,2514.5
9314,4267048960,0.575550,4.604397,2.8438,1.084103,1.023366,1.88e-03,2564.7
9480,4354080768,0.587306,4.698448,2.8129,1.081486,1.022219,1.50e-03,2619.8
