step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8878080,0.000580,0.002899,10.4431,3.415178,3.133969,1.46e-05,10.5
23,12011520,0.001078,0.005389,10.1787,3.398488,3.071473,1.97e-05,17.5
30,15667200,0.001658,0.008289,9.8884,3.327567,2.985358,2.57e-05,24.9
40,20889600,0.002492,0.012461,9.4981,3.227271,2.868832,3.43e-05,33.1
54,28200960,0.003654,0.018271,8.9811,3.087166,2.710479,4.63e-05,42.5
72,37601280,0.005151,0.025755,8.3129,2.906902,2.499336,6.17e-05,53.2
96,50135040,0.007147,0.035735,7.5378,2.756670,2.299623,8.23e-05,65.7
127,66324480,0.009731,0.048653,6.8973,2.629232,2.164660,1.09e-04,80.2
170,88780800,0.013316,0.066580,6.4213,2.508416,2.056046,1.46e-04,98.4
226,118026240,0.017979,0.089893,6.1035,2.408454,1.971569,1.94e-04,120.5
302,157716480,0.024310,0.121548,5.8367,2.321973,1.896105,2.59e-04,148.5
403,210462720,0.032723,0.163615,5.4895,2.208340,1.778684,3.45e-04,184.0
537,280442880,0.043910,0.219550,5.0558,2.067363,1.645860,4.60e-04,229.6
716,373923840,0.058841,0.294205,4.5357,1.765148,1.475438,6.00e-04,288.8
955,498739200,0.078791,0.393954,4.0972,1.584698,1.343841,6.00e-04,366.0
1274,665333760,0.105469,0.527345,3.8452,1.523181,1.270068,5.98e-04,467.5
1698,886763520,0.140884,0.704421,3.6631,1.464867,1.212621,5.95e-04,600.4
2265,1182873600,0.188227,0.941136,3.5319,1.405363,1.170637,5.88e-04,776.3
3020,1577164800,0.251295,1.256475,3.4212,1.372009,1.136724,5.73e-04,1008.7
4028,2103582720,0.335540,1.677698,3.3543,1.348763,1.109682,5.46e-04,1317.4
5371,2804951040,0.447574,2.237871,3.2661,1.321349,1.085638,4.98e-04,1726.3
7163,3740805120,0.597078,2.985392,3.2015,1.310763,1.064594,4.16e-04,2270.1
9551,4987914240,0.796241,3.981206,3.1530,1.294874,1.043841,2.93e-04,2992.8
12737,6651770880,1.062019,5.310093,3.0897,1.280029,1.023797,1.46e-04,3955.2
15286,7982960640,1.274558,6.372791,3.0479,1.276979,1.014225,7.44e-05,4725.9
15626,8160522240,1.302913,6.514566,3.0619,1.282239,1.013422,6.92e-05,4833.4
15966,8338083840,1.331253,6.656267,3.0537,1.282436,1.012714,6.52e-05,4940.8
16306,8515645440,1.359589,6.797947,3.0358,1.277775,1.012141,6.23e-05,5048.2
16645,8692684800,1.387856,6.939282,3.0478,1.278516,1.011628,6.06e-05,5155.4
16985,8870246400,1.416190,7.080951,3.0451,1.279254,1.011224,6.00e-05,5262.8
