step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
5,2611200,0.024970,0.124851,13.1258,2.947067,nan,3.60e-03,92.1
6,3133440,0.025033,0.125164,12.5583,2.943293,nan,3.60e-03,95.1
8,4177920,0.025158,0.125792,11.5491,2.801181,nan,3.60e-03,98.4
9,4700160,0.025221,0.126107,11.0961,2.751332,nan,3.60e-03,101.5
11,5744640,0.000063,0.000316,10.2743,2.697602,nan,3.60e-03,104.9
14,7311360,0.000252,0.001258,9.2583,2.630725,nan,3.60e-03,108.4
17,8878080,0.000441,0.002203,8.5008,2.565814,nan,3.60e-03,112.1
21,10967040,0.000694,0.003468,7.7536,2.522510,nan,3.60e-03,116.0
26,13578240,0.001012,0.005061,7.0573,2.454915,nan,3.60e-03,120.1
32,16711680,0.001394,0.006969,6.5675,2.401000,nan,3.60e-03,124.4
39,20367360,0.001840,0.009201,6.2308,2.345470,nan,3.60e-03,128.8
48,25067520,0.002416,0.012080,5.9289,2.292468,nan,3.60e-03,133.8
58,30289920,0.003058,0.015290,5.6855,2.241624,nan,3.60e-03,139.0
72,37601280,0.003955,0.019776,5.5157,2.175775,nan,3.60e-03,145.2
88,45957120,0.004979,0.024894,5.2757,2.113255,nan,3.60e-03,151.8
107,55879680,0.006198,0.030988,5.1300,2.048803,nan,3.60e-03,159.1
132,68935680,0.007805,0.039024,4.9789,1.979361,nan,3.60e-03,167.9
161,84080640,0.009670,0.048351,4.7502,1.914134,nan,3.60e-03,177.5
198,103403520,0.012051,0.060257,4.6944,1.839409,nan,3.60e-03,188.9
242,126382080,0.014880,0.074398,4.4136,1.716633,nan,3.60e-03,201.9
297,155105280,0.018406,0.092031,4.1698,1.572350,nan,3.60e-03,217.5
364,190095360,0.022714,0.113568,4.0850,1.515072,nan,3.60e-03,235.9
445,232396800,0.027913,0.139563,3.9848,1.463580,nan,3.60e-03,257.5
546,285143040,0.034559,0.172795,3.9233,1.436326,nan,3.60e-03,284.2
669,349378560,0.042460,0.212298,3.8476,1.393595,nan,3.60e-03,315.5
819,427714560,0.052104,0.260518,3.7566,1.362590,nan,3.60e-03,353.1
1004,524328960,0.064327,0.321633,3.6426,1.339735,nan,3.60e-03,400.1
1230,642355200,0.078862,0.394311,3.5793,1.318543,nan,3.60e-03,455.3
1507,787015680,0.097007,0.485033,3.5721,1.296627,nan,3.60e-03,523.5
1847,964577280,0.118876,0.594378,3.5064,1.274402,nan,3.60e-03,605.2
2263,1181829120,0.145970,0.729850,3.5234,1.262422,nan,3.60e-03,705.6
2772,1447649280,0.179017,0.895086,3.3647,1.246129,nan,3.60e-03,827.4
3397,1774049280,0.219863,1.099315,3.4115,1.234469,nan,3.60e-03,977.3
4162,2173562880,0.269403,1.347015,3.3536,1.207277,nan,2.33e-03,1158.5
4590,2397081600,0.297276,1.486380,3.3081,1.189293,nan,1.27e-03,1261.7
4692,2450350080,0.303840,1.519202,3.3027,1.188298,nan,1.01e-03,1288.2
4794,2503618560,0.310707,1.553534,3.2802,1.183315,nan,7.60e-04,1315.8
4896,2556887040,0.317257,1.586286,3.2622,1.181198,nan,5.06e-04,1342.2
4998,2610155520,0.323803,1.619013,3.2955,1.179451,nan,2.53e-04,1368.6
5100,2663424000,0.330348,1.651739,3.2697,1.177272,nan,0.00e+00,1395.1
