step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000296,0.002370,10.4422,3.415050,3.133974,1.46e-05,22.7
23,12058624,0.000547,0.004379,10.1762,3.398640,3.071466,1.97e-05,28.9
30,15728640,0.000842,0.006739,9.8942,3.325691,2.985090,2.57e-05,35.2
40,20971520,0.001263,0.010103,9.4993,3.228316,2.868266,3.43e-05,42.1
54,28311552,0.001853,0.014821,8.9656,3.088012,2.710125,4.63e-05,49.5
71,37224448,0.002569,0.020555,8.3564,2.917367,2.512041,6.09e-05,57.4
95,49807360,0.003583,0.028665,7.5785,2.757252,2.304785,8.14e-05,66.3
127,66584576,0.004937,0.039494,6.8880,2.631899,2.168987,1.09e-04,76.5
169,88604672,0.006715,0.053722,6.4266,2.510689,2.057995,1.45e-04,88.2
226,118489088,0.009135,0.073080,6.0901,2.408857,1.971934,1.94e-04,102.1
301,157810688,0.012322,0.098576,5.8292,2.309890,1.889850,2.58e-04,119.0
401,210239488,0.016574,0.132592,5.4898,2.209797,1.779427,3.44e-04,139.6
535,280494080,0.022279,0.178230,5.0567,2.052488,1.640879,4.59e-04,165.4
714,374341632,0.029895,0.239162,4.5569,1.768569,1.479090,6.00e-04,198.2
952,499122176,0.040027,0.320217,4.0949,1.587277,1.345185,6.00e-04,239.9
1269,665321472,0.053547,0.428377,3.8357,1.518886,1.268109,5.98e-04,293.9
1692,887095296,0.071623,0.572980,3.6675,1.458258,1.211591,5.95e-04,364.3
2257,1183318016,0.095789,0.766309,3.5281,1.429819,1.170533,5.88e-04,456.6
3010,1578106880,0.127987,1.023893,3.4307,1.392605,1.136682,5.73e-04,577.8
4014,2104492032,0.170907,1.367257,3.3584,1.332080,1.110646,5.46e-04,737.6
5352,2805989376,0.228052,1.824416,3.2806,1.311982,1.086604,4.98e-04,948.7
7137,3741843456,0.304243,2.433942,3.2102,1.300685,1.065205,4.16e-04,1228.4
9518,4990173184,0.406111,3.248887,3.1561,1.292111,1.044458,2.93e-04,1600.6
12692,6654263296,0.541697,4.333572,3.0900,1.274943,1.024460,1.46e-04,2094.1
15232,7985954816,0.650129,5.201035,3.0565,1.274131,1.014616,7.44e-05,2489.9
15571,8163688448,0.664587,5.316697,3.0519,1.273768,1.013718,6.92e-05,2547.2
15910,8341422080,0.679060,5.432483,3.0499,1.275669,1.013017,6.52e-05,2604.8
16248,8518631424,0.693486,5.547885,3.0592,1.275479,1.012486,6.23e-05,2662.0
16586,8695840768,0.707895,5.663156,3.0442,1.276812,1.011937,6.06e-05,2719.1
16925,8873050112,0.722311,5.778489,3.0510,1.270666,1.011443,6.00e-05,2776.3
