step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
17,8912896,0.000296,0.002368,10.4386,3.413074,3.194472,1.46e-05,15.5
23,12058624,0.000549,0.004389,10.1802,3.382746,3.134217,1.97e-05,20.4
30,15728640,0.000843,0.006746,9.9051,3.320779,3.058427,2.57e-05,25.6
40,20971520,0.001267,0.010133,9.5191,3.224794,2.933213,3.43e-05,31.2
54,28311552,0.001858,0.014867,8.9962,3.083574,2.758664,4.63e-05,37.5
71,37224448,0.002575,0.020598,8.3652,2.918745,2.542113,6.09e-05,44.1
95,49807360,0.003591,0.028729,7.5534,2.773860,2.324505,8.14e-05,51.7
127,66584576,0.004942,0.039537,6.8803,2.645795,2.179444,1.09e-04,60.6
169,88604672,0.006726,0.053809,6.3978,2.530183,2.076277,1.45e-04,71.0
226,118489088,0.009143,0.073147,6.0890,2.414763,1.996944,1.94e-04,83.8
301,157810688,0.012330,0.098637,5.8443,2.320844,1.928373,2.58e-04,99.3
401,210239488,0.016587,0.132692,5.5174,2.184560,1.818042,3.44e-04,118.6
535,280494080,0.022288,0.178306,5.1177,2.034716,1.693696,4.59e-04,143.3
714,374341632,0.029915,0.239317,4.6661,1.758748,1.539354,6.00e-04,175.0
952,499122176,0.040067,0.320538,4.2404,1.549687,1.412515,6.00e-04,215.5
1269,665321472,0.053615,0.428919,4.0127,1.461763,1.339001,5.98e-04,268.2
1692,887095296,0.071679,0.573436,3.8397,1.396099,1.286030,5.95e-04,337.4
2257,1183318016,0.095910,0.767276,3.7348,1.348819,1.246041,5.88e-04,428.9
3010,1578106880,0.128199,1.025595,3.6189,1.309066,1.213949,5.73e-04,549.3
4014,2104492032,0.171130,1.369039,3.5404,1.275975,1.187465,5.46e-04,708.2
5352,2805989376,0.228340,1.826717,3.4811,1.252023,1.165173,4.98e-04,918.3
7137,3741843456,0.304517,2.436139,3.4029,1.228689,1.144368,4.16e-04,1196.8
9518,4990173184,0.406183,3.249460,3.3508,1.202891,1.124543,2.93e-04,1566.9
12692,6654263296,0.541841,4.334732,3.2955,1.179414,1.105330,1.46e-04,2059.5
16925,8873574400,0.722699,5.781589,3.2523,1.165399,1.092519,6.00e-05,2714.9
