step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000198,0.001583,18.1251,2.989871,2.546673,2.30e-02,139.0
7,917504,0.000215,0.001719,17.9098,2.918666,2.484066,2.30e-02,144.9
9,1179648,0.000234,0.001872,17.4577,2.805701,2.375841,2.30e-02,150.7
11,1441792,0.000254,0.002029,17.0096,2.748128,2.301013,2.30e-02,156.8
13,1703936,0.000273,0.002183,16.5798,2.685794,2.242063,2.30e-02,162.7
16,2097152,0.000304,0.002428,15.9520,2.610569,2.172089,2.30e-02,168.9
19,2490368,0.000351,0.002804,15.3924,2.552985,2.115325,2.30e-02,175.1
24,3145728,0.000396,0.003167,14.5826,2.474097,2.040863,2.30e-02,181.4
29,3801088,0.000440,0.003520,13.8798,2.414007,1.988512,2.30e-02,187.6
35,4587520,0.000493,0.003946,13.1468,2.342420,1.928158,2.30e-02,193.9
43,5636096,0.000580,0.004637,12.3671,2.229925,1.853109,2.30e-02,200.2
53,6946816,0.000731,0.005851,11.6481,2.112195,1.782190,2.30e-02,206.8
64,8388608,0.000828,0.006627,11.0756,2.035966,1.733959,2.30e-02,213.0
79,10354688,0.000959,0.007672,10.4728,1.957965,1.667883,2.30e-02,219.3
96,12582912,0.001108,0.008863,10.0167,1.884784,1.617578,2.30e-02,225.9
118,15466496,0.001300,0.010397,9.6469,1.823701,1.577770,2.30e-02,232.5
145,19005440,0.001534,0.012268,9.2767,1.752007,1.521997,2.30e-02,239.3
177,23199744,0.001812,0.014494,9.0457,1.702505,1.485535,2.30e-02,246.6
217,28442624,0.002159,0.017274,8.7283,1.674169,1.463757,2.30e-02,254.0
265,34734080,0.002577,0.020614,8.5501,1.638057,1.437746,2.30e-02,261.8
325,42598400,0.003096,0.024772,8.3137,1.597935,1.414371,2.30e-02,269.8
398,52166656,0.003730,0.029841,8.0528,1.561715,1.382170,2.30e-02,278.2
488,63963136,0.004510,0.036081,7.7541,1.532386,1.356284,2.30e-02,287.0
598,78381056,0.005464,0.043711,7.4363,1.506022,1.333210,2.30e-02,296.6
732,95944704,0.006669,0.053350,7.1186,1.484251,1.312493,2.30e-02,307.0
897,117571584,0.008099,0.064795,6.6974,1.472493,1.306148,2.30e-02,318.2
1010,144179200,0.009717,0.077739,6.3577,1.433190,1.269358,3.50e-02,334.9
1133,176422912,0.011658,0.093262,5.8477,1.398521,1.242668,3.44e-02,348.1
1285,216268800,0.014053,0.112422,5.3398,1.361865,1.203599,3.15e-02,363.0
1471,265027584,0.017031,0.136246,4.6296,1.325582,1.168154,2.80e-02,379.9
1698,324534272,0.020625,0.165000,3.8215,1.282330,1.123413,2.37e-02,399.0
1932,397934592,0.024980,0.199841,3.1355,1.295382,1.088619,2.16e-02,426.1
2159,487194624,0.030202,0.241612,3.0535,1.264067,1.065588,1.67e-02,451.1
2439,597295104,0.036652,0.293216,2.9994,1.238548,1.042618,1.05e-02,480.5
2594,658243584,0.040218,0.321746,2.9380,1.244261,1.031433,7.11e-03,499.4
2632,673185792,0.041091,0.328729,2.9434,1.236684,1.029021,6.28e-03,508.8
2669,687734784,0.041939,0.335513,2.9354,1.246787,1.026834,5.47e-03,518.2
2706,702283776,0.042788,0.342304,2.9470,1.228937,1.024274,4.66e-03,527.4
2743,716832768,0.043636,0.349086,2.9339,1.227610,1.022065,3.85e-03,536.8
2780,731381760,0.044488,0.355904,2.9100,1.229228,1.020859,3.45e-03,550.6
