step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000092,0.000733,18.1427,3.003397,2.561535,2.30e-02,89.9
7,917504,0.000105,0.000837,17.9218,2.929069,2.494562,2.30e-02,94.4
9,1179648,0.000123,0.000987,17.4448,2.803727,2.385567,2.30e-02,98.9
11,1441792,0.000142,0.001137,17.0084,2.753984,2.316455,2.30e-02,103.4
13,1703936,0.000161,0.001289,16.5823,2.700710,2.265194,2.30e-02,108.0
16,2097152,0.000189,0.001513,15.9948,2.601285,2.194640,2.30e-02,112.5
19,2490368,0.000215,0.001722,15.4723,2.553871,2.146152,2.30e-02,117.0
24,3145728,0.000260,0.002083,14.6399,2.475334,2.070102,2.30e-02,121.6
29,3801088,0.000304,0.002431,13.9626,2.407222,2.024506,2.30e-02,126.2
35,4587520,0.000357,0.002857,13.2590,2.307019,1.957705,2.30e-02,130.8
43,5636096,0.000428,0.003427,12.5309,2.220896,1.893071,2.30e-02,135.5
53,6946816,0.000516,0.004131,11.8147,2.121285,1.826867,2.30e-02,140.3
64,8388608,0.000613,0.004908,11.2567,2.042553,1.782344,2.30e-02,145.1
79,10354688,0.000746,0.005969,10.7049,1.952722,1.716622,2.30e-02,150.0
96,12582912,0.000895,0.007158,10.2327,1.871519,1.661015,2.30e-02,154.9
118,15466496,0.001162,0.009298,9.8457,1.816211,1.621851,2.30e-02,160.3
145,19005440,0.001405,0.011240,9.5274,1.762116,1.583423,2.30e-02,165.8
177,23199744,0.001683,0.013461,9.2631,1.714154,1.551044,2.30e-02,171.2
217,28442624,0.002031,0.016245,8.9817,1.663191,1.516549,2.30e-02,177.0
265,34734080,0.002448,0.019588,8.7809,1.626387,1.496842,2.30e-02,183.0
325,42598400,0.002972,0.023772,8.5805,1.592019,1.473593,2.30e-02,189.3
398,52166656,0.003605,0.028840,8.2642,1.563424,1.449556,2.30e-02,196.1
488,63963136,0.004386,0.035087,8.0017,1.533147,1.423368,2.30e-02,203.4
598,78381056,0.005342,0.042738,7.6626,1.504794,1.399721,2.30e-02,211.3
732,95944704,0.006514,0.052112,7.3651,1.476036,1.376099,2.30e-02,220.0
897,117571584,0.007944,0.063549,6.9666,1.447572,1.362566,2.30e-02,229.6
1010,144179200,0.009565,0.076516,6.5495,1.431793,1.344075,3.50e-02,244.5
1133,176422912,0.011501,0.092005,6.1002,1.396199,1.305660,3.44e-02,256.0
1285,216268800,0.013895,0.111160,5.5430,1.357780,1.278515,3.15e-02,269.1
1471,265027584,0.016824,0.134592,4.8697,1.318829,1.242057,2.80e-02,284.1
1698,324534272,0.020401,0.163211,4.0354,1.269942,1.202858,2.37e-02,301.4
1932,397934592,0.024752,0.198019,3.3385,1.234122,1.168282,2.16e-02,326.5
2159,487194624,0.029968,0.239748,3.2660,1.212805,1.144686,1.67e-02,349.7
2439,597295104,0.036412,0.291294,3.2111,1.191405,1.124466,1.05e-02,377.5
2780,731381760,0.044270,0.354159,3.1363,1.167876,1.102613,3.45e-03,414.8
