step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
34,4456448,0.000729,0.005831,13.6157,2.482597,2.064343,1.50e-02,732.4
41,5373952,0.000870,0.006960,12.9734,2.393092,1.999366,1.50e-02,740.5
50,6553600,0.001053,0.008422,12.3338,2.305239,1.935392,1.50e-02,748.7
62,8126464,0.001294,0.010351,11.6617,2.208642,1.856320,1.50e-02,757.3
75,9830400,0.001555,0.012439,11.1338,2.116607,1.790632,1.50e-02,765.9
92,12058624,0.001899,0.015191,10.6065,2.018379,1.718044,1.50e-02,774.7
113,14811136,0.002321,0.018565,10.1541,1.942456,1.658180,1.50e-02,784.1
138,18087936,0.002824,0.022592,9.6930,1.853816,1.600301,1.50e-02,793.6
169,22151168,0.003446,0.027571,9.3215,1.802283,1.554732,1.50e-02,803.8
207,27131904,0.004210,0.033682,8.9896,1.745191,1.513941,1.50e-02,814.5
254,33292288,0.005153,0.041222,8.6810,1.698991,1.477811,1.50e-02,825.7
311,40763392,0.006294,0.050348,8.4616,1.654572,1.439987,1.50e-02,837.5
381,49938432,0.007694,0.061549,8.0838,1.606018,1.408490,1.50e-02,850.3
467,61210624,0.009414,0.075314,7.7562,1.567284,1.375006,1.50e-02,864.1
572,74973184,0.011516,0.092130,7.3749,1.534398,1.346107,1.50e-02,879.3
700,91750400,0.014078,0.112628,6.9664,1.494793,1.314652,1.50e-02,896.2
821,112459776,0.017095,0.136763,6.5784,1.469664,1.290252,2.28e-02,940.0
918,137887744,0.020587,0.164696,6.1137,1.436888,1.259133,2.28e-02,960.6
1036,168820736,0.024835,0.198683,5.5656,1.399681,1.226123,2.28e-02,983.9
1181,206831616,0.030065,0.240522,4.9843,1.375347,1.196674,2.28e-02,1010.8
1359,253493248,0.036500,0.292002,4.2026,1.331969,1.156155,2.28e-02,1041.9
1573,310378496,0.044322,0.354576,3.2719,1.350545,1.120474,2.59e-02,1103.3
1751,380370944,0.053714,0.429715,3.1606,1.333984,1.101888,2.59e-02,1145.0
1969,466092032,0.065228,0.521827,3.1167,1.307155,1.092712,2.59e-02,1194.4
2236,571080704,0.079338,0.634704,3.0689,1.287233,1.080671,2.59e-02,1253.2
2510,699793408,0.096773,0.774182,3.0484,1.306856,1.076757,3.00e-02,1347.1
2810,857079808,0.117477,0.939816,3.0297,1.298955,1.064117,3.00e-02,1429.3
3179,1050542080,0.142932,1.143459,2.9863,1.270840,1.054704,2.84e-02,1553.9
3630,1286995968,0.174171,1.393367,2.9527,1.279924,1.045252,2.65e-02,1674.1
4183,1576927232,0.212561,1.700488,2.8937,1.281477,1.029546,2.41e-02,1845.3
4860,1931870208,0.259773,2.078183,2.8821,1.285244,1.021459,2.12e-02,2048.3
5690,2367029248,0.317804,2.542434,2.8017,1.259958,1.011746,1.76e-02,2290.3
6707,2900230144,0.389145,3.113157,2.7495,1.251890,0.986660,1.32e-02,2580.4
7954,3554017280,0.476911,3.815286,2.6692,1.219966,0.958633,7.77e-03,2904.1
8650,3918921728,0.525884,4.207072,2.6346,1.213387,0.949476,4.75e-03,3088.2
8816,4005953536,0.537546,4.300364,2.6325,1.211813,0.947984,4.03e-03,3137.8
8982,4092985344,0.549225,4.393798,2.6338,1.211797,0.944427,3.31e-03,3187.6
9148,4180017152,0.560884,4.487073,2.6042,1.210018,0.941269,2.60e-03,3237.3
9314,4267048960,0.572541,4.580332,2.5893,1.208546,0.940120,1.88e-03,3286.9
9480,4354080768,0.584220,4.673764,2.6151,1.202711,0.937669,1.50e-03,3362.2
