step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
6,786432,0.000089,0.000709,18.1282,2.978882,2.554427,2.30e-02,89.6
7,917504,0.000101,0.000811,17.9163,2.924524,2.486612,2.30e-02,94.1
9,1179648,0.000123,0.000980,17.4675,2.807922,2.378935,2.30e-02,98.6
11,1441792,0.000142,0.001135,17.0226,2.755231,2.306668,2.30e-02,103.1
13,1703936,0.000161,0.001285,16.5938,2.688245,2.245527,2.30e-02,107.6
16,2097152,0.000195,0.001563,15.9707,2.605800,2.173214,2.30e-02,112.1
19,2490368,0.000225,0.001801,15.4097,2.551532,2.119404,2.30e-02,116.7
24,3145728,0.000271,0.002167,14.5960,2.486320,2.046503,2.30e-02,121.3
29,3801088,0.000316,0.002531,13.8950,2.411727,1.985790,2.30e-02,125.9
35,4587520,0.000370,0.002960,13.1618,2.341738,1.925023,2.30e-02,130.5
43,5636096,0.000442,0.003533,12.3851,2.234122,1.854562,2.30e-02,135.1
53,6946816,0.000529,0.004235,11.6656,2.124934,1.789967,2.30e-02,139.9
64,8388608,0.000627,0.005017,11.0930,2.053199,1.740271,2.30e-02,144.6
79,10354688,0.000757,0.006055,10.4919,1.965886,1.672505,2.30e-02,149.5
96,12582912,0.000906,0.007247,10.0315,1.879219,1.611795,2.30e-02,154.6
118,15466496,0.001103,0.008827,9.6566,1.825335,1.573783,2.30e-02,159.8
145,19005440,0.001338,0.010701,9.2835,1.752792,1.524587,2.30e-02,165.2
177,23199744,0.001621,0.012972,9.0537,1.704619,1.492529,2.30e-02,170.6
217,28442624,0.001970,0.015759,8.7325,1.668378,1.462937,2.30e-02,176.3
265,34734080,0.002387,0.019095,8.5489,1.632275,1.436094,2.30e-02,182.2
325,42598400,0.002907,0.023255,8.3057,1.588596,1.404995,2.30e-02,188.6
398,52166656,0.003540,0.028320,8.0407,1.567398,1.387525,2.30e-02,195.3
488,63963136,0.004325,0.034604,7.7361,1.529888,1.354713,2.30e-02,202.5
598,78381056,0.005290,0.042318,7.4257,1.509918,1.339879,2.30e-02,210.5
732,95944704,0.006453,0.051620,7.1067,1.476822,1.309514,2.30e-02,219.2
897,117571584,0.008025,0.064196,6.6922,1.458272,1.288878,2.30e-02,229.3
1010,144179200,0.009650,0.077202,6.3306,1.440001,1.271366,3.50e-02,244.2
1133,176422912,0.011583,0.092661,5.8373,1.401206,1.241155,3.44e-02,255.6
1285,216268800,0.013975,0.111800,5.3343,1.368306,1.205444,3.15e-02,268.8
1471,265027584,0.016903,0.135226,4.6267,1.328165,1.170038,2.80e-02,283.8
1698,324534272,0.020477,0.163817,3.8215,1.283185,1.122654,2.37e-02,301.1
1932,397934592,0.024827,0.198612,3.1335,1.297852,1.091004,2.16e-02,326.2
2159,487194624,0.030040,0.240317,3.0524,1.278097,1.067353,1.67e-02,349.5
2439,597295104,0.036494,0.291954,2.9986,1.255499,1.045660,1.05e-02,377.2
2780,731381760,0.044358,0.354863,2.9093,1.239232,1.025151,3.45e-03,414.5
