step,tokens,timed_hours,gpu_hours,train_loss_ema,neutral_bpb,ownval_bpb,lr,wallclock_s
20,9830400,0.007383,0.036915,9.1962,2.670702,nan,1.80e-03,251.7
25,12288000,0.011475,0.057373,8.1070,2.599326,nan,1.80e-03,291.4
31,15237120,0.016080,0.080400,7.2344,2.528346,nan,1.80e-03,334.6
37,18186240,0.020677,0.103383,6.7446,2.472054,nan,1.80e-03,376.2
46,22609920,0.027307,0.136534,6.3709,2.421001,nan,1.80e-03,427.6
56,27525120,0.034667,0.173336,6.1498,2.368117,nan,1.80e-03,479.6
69,33914880,0.044235,0.221174,5.8789,2.332240,nan,1.80e-03,540.0
84,41287680,0.055278,0.276392,5.6835,2.251238,nan,1.80e-03,605.2
103,50626560,0.069273,0.346366,5.6062,2.178790,nan,1.80e-03,680.7
127,62423040,0.086958,0.434792,5.2999,2.100417,nan,1.80e-03,769.4
155,76185600,0.107750,0.538752,5.0650,2.014841,nan,1.80e-03,869.1
190,93388800,0.133661,0.668303,4.8351,1.935470,nan,1.80e-03,987.8
233,114524160,0.165599,0.827997,4.6943,1.848269,nan,1.80e-03,1128.3
285,140083200,0.203939,1.019695,4.3921,1.669354,nan,1.80e-03,1292.0
350,172032000,0.251941,1.259705,4.1073,1.518583,nan,1.80e-03,1490.0
428,210370560,0.309712,1.548560,3.8817,1.442595,nan,1.80e-03,1723.4
525,258048000,0.381307,1.906534,3.7888,1.388963,nan,1.80e-03,2006.6
643,316047360,0.468197,2.340986,3.6722,1.340285,nan,1.80e-03,2344.3
788,387317760,0.574728,2.873640,3.6153,1.296286,nan,1.80e-03,2752.9
966,474808320,0.705573,3.527864,3.4929,1.267027,nan,1.80e-03,3248.9
1183,581468160,0.864848,4.324238,3.5052,1.240034,nan,1.80e-03,3847.3
1450,712704000,1.061086,5.305431,3.3384,1.209888,nan,1.80e-03,4578.8
1777,873431040,1.301058,6.505291,3.3294,1.189420,nan,1.80e-03,5468.0
2177,1070039040,1.594661,7.973303,3.2652,1.166221,nan,1.80e-03,6550.8
2667,1310883840,1.954388,9.771940,3.2425,1.149367,nan,1.80e-03,7871.0
3268,1606287360,2.395116,11.975581,3.2413,1.129991,nan,1.80e-03,9482.6
4004,1968046080,2.934594,14.672969,3.0199,1.110591,nan,1.80e-03,11449.9
4906,2411397120,3.596689,17.983447,3.0689,1.094742,nan,1.80e-03,13858.4
6012,2955018240,4.407849,22.039245,3.0388,1.081910,nan,1.80e-03,16803.8
7366,3620536320,5.401874,27.009372,2.9977,1.066260,nan,1.80e-03,20406.9
9026,4436459520,6.619117,33.095585,3.0064,1.052942,nan,1.80e-03,24814.1
11059,5435719680,8.111243,40.556215,2.9275,1.038965,nan,1.80e-03,30211.2
13550,6660096000,9.939628,49.698142,2.8624,1.028230,nan,1.80e-03,36818.2
16603,8160706560,12.180855,60.904273,2.7669,1.006482,nan,1.16e-03,44911.9
18309,8999239680,13.432949,67.164744,2.8203,0.994063,nan,6.30e-04,49444.5
18716,9199288320,13.731479,68.657396,2.8150,0.985933,nan,5.04e-04,50544.4
19122,9398845440,14.029654,70.148268,2.7146,0.983403,nan,3.78e-04,51643.0
19529,9598894080,14.328477,71.642384,2.6583,0.981122,nan,2.52e-04,52744.3
19936,9798942720,14.627285,73.136423,2.7540,0.979123,nan,1.26e-04,53845.1
20343,9998991360,14.926073,74.630366,2.6840,0.977510,nan,0.00e+00,54945.8
